AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B51-EKCK-HB,Discontinued,Active,B51 EASTERN & CAL. KING HEADBOARD,WHITE FAUX LEATHER,* BOX 1 OF 4 *,0,,1,0,1,,,,,,,,,,
B51-EKCK-SL,Discontinued,Active,B51 EASTERN & CAL. KING SLATS,* BOX 4 OF 4 * ,,0,,1,0,1,,,,,,,,,,
B51-Q-FB,Discontinued,Active,B51 QUEEN FOOTBOARD,WHITE FAUX LEATHER,* BOX 2 OF 4 *,0,,1,0,1,,,,,,,,,,
B51-Q-HB,Discontinued,Active,B51 QUEEN HEADBOARD,WHITE FAUX LEATHER,* BOX 1 OF 4 *,0,,1,0,1,,,,,,,,,,
B51-Q-SLATS,Discontinued,Active,B51 QUEEN SLATS,* BOX 4 OF 4 *,,0,,1,0,1,,,,,,,,,,
B51-Q-SR,Discontinued,Active,B51 QUEEN SIDE RAIL,WHITE FAUX LEATHER,* BOX 3 OF 4 *,0,,1,0,1,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B52-CKB,Discontinued,Active,B52 CAL. KING BED,BEIGE VELVET,* 3 BOXES *,594,625,,,2,,,,,,,,,,
B52-QB,Discontinued,Active,B52 QUEEN BED,BEIGE VELVET,* 3 BOXES *,532,560,,,0,,,,,,,,,,
B52-CK-FB,Discontinued,Active,B52 CAL. KING FOOTBOARD & SIDE RAILS,BEIGE VELVET,* BOX 2 OF 3 *,0,,2,0,2,,,,,,,,,,
B52-EKCK-HB,Discontinued,Active,B52 EASTERN & CAL. KING HEADBOARD,BEIGE VELVET,* BOX 1 OF 3 *,0,,2,0,2,,,,,,,,,,
B52-EKCK-SL,Discontinued,Active,B52 EASTERN & CAL. KING SLATS,* BOX 3 OF 3 *,,0,,2,0,2,,,,,,,,,,
B52-Q-FB,Discontinued,Active,B52 QUEEN FOOBOARD & SIDE RAILS,BEIGE VELVET,* BOX 2 OF 3 *,0,,0,0,0,,,,,,,,,,
B52-Q-HB,Discontinued,Active,B52 QUEEN HEADBOARD,BEIGE VELVET,* BOX 1 OF 3 *,0,,0,0,0,,,,,,,,,,
B52-Q-SL,Discontinued,Active,B52 QUEEN SLAT,* BOX 3 OF 3 *,,0,,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B53-CKB,Discontinued,Active,B53 CAL. KING BED,DARK GRAY VELVET,* 3 BOXES *,420,399,,,0,,,,,,,,,,
B53-EKB,Discontinued,Active,B53 EASTERN KING BED,DARK GRAY VELVET,* 3 BOXES *,420,399,,,0,,,,,,,,,,
B53-QB,Discontinued,Active,B53 QUEEN BED,DARK GRAY VELVET ,* 3 BOXES *,367,349,,,16,,,,,,,,,,
B53-CK-FB,Discontinued,Active,B53 CAL. KING FOOTBOARD & SIDE RAILS,DARK GRAY VELVET,* BOX 2 OF 3 *,0,,0,0,0,,,,,,,,,,
B53-EK-FB,Discontinued,Active,B53 EASTERN KING FOOTBAORD & SIDE RAILS,DARK GRAY VELVET,* BOX 3 OF 3 *,0,,0,0,0,,,,,,,,,,
B53-EKCK-HB,Discontinued,Active,B53 EASTERN & CAL. KING HEADBOARD,DARK GRAY VELVET,* BOX 1 OF 3 *,0,,0,0,0,,,,,,,,,,
