AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B810-EKB,Top Seller,Active,B810 EASTERN KING BED,GRAY COLOR W/ GRAY VELVET FABRIC,* 4 BOXES *,756,795,,,54,,,,,,,,,,
B810-Q3,,Active,B810 3PC. QUEEN SET,GRAY COLOR W/ GRAY VELVET FABRIC,(Q +DR +N),1457,1533,,,72,,,,,,,,,,
B810-Q4C,,Active,B810 4PC. QUEEN SET W/ EXTRA CHEST,GRAY COLOR W/ GRAY VELVET FABRIC,(Q +DR +M +N +C),2154,2267,,,72,,,,,,,,,,
B810-Q4N,,Active,B810 4PC. QUEEN SET W/ EXTRA NIGHSTAND,GRAY COLOR W/ GRAY VELVET FABRIC,(Q +DR +M +2N),1865,1963,,,72,,,,,,,,,,
B810-Q4NC,,Active,B810 4PC. QUEEN SET W/ EXTRA CHEST & NS,GRAY COLOR W/ GRAY VELVET FABRIC,(Q +DR +M +2N +C),2387,2512,,,72,,,,,,,,,,
B810-QB,Top Seller,Active,B810 QUEEN BED,GRAY COLOR W/ GRAY VELVET FABRIC,* 4 BOXES *,617,649,,,72,,,,,,,,,,
B810CK4,,Active,B810 4PC. CAL KING SET,GRAY COLOR W/ GRAY VELVET FABRIC,* 7 BOXES *,1771,1864,,,43,,,,,,,,,,
B810EK4,,Active,B810 4PC. EASTERN KING SET,GRAY COLOR W/ GRAY VELVET FABRIC,* 7 BOXES *,1771,1864,,,54,,,,,,,,,,
B810Q4,Top Seller,Active,B810 4PC. QUEEN SET,GRAY COLOR W/ GRAY VELVET FABRIC,* 7 BOXES *,1633,1718,,,72,,,,,,,,,,
B810-B,,Active,B810 BENCH,GRAY COLOR W/ GRAY VELVET FABRIC,* 1 BOX *,228,239,84,0,84,,,,,,,,,,
B810-BP,,Active,B810 & B811 EK/CK/Q BED POST,GRAY COLOR,* BOX 4 OF 4 *,0,0,234,0,234,,,,,,,,,,
B810-C,,Active,B810 & B811 CHEST,GRAY COLOR,* 1 BOX *,1,1,101,0,101,,,,,,,,,,
B810-CK-SR,Note,Active,B810 CAL. KING SIDE RAILS,GRAY COLOR,* BOX 3 OF 4 *,0,,43,0,43,,,,,,,,,,
